ARREST DATE,TOP CHARGE DESCRIPTION,HOME PSA,CRIME / ARREST PSA
1/9/2014 ,POSSESS PROHIBITED WEAPON,208,702
1/9/2014 ,APO (MISD),103,103
1/9/2014 ,ESCAPE FROM INSTITUTION OR OFFICER,507,507
1/9/2014 ,"ROBBERY, FORCE & VIOLENCE",507,507
1/9/2014 ,"ROBBERY, FORCE & VIOLENCE",507,507
1/9/2014 ,SIMPLE ASSAULT,103,103
1/10/2014 ,SIMPLE ASSAULT,505,505
1/10/2014 ,SIMPLE ASSAULT,505,505
1/10/2014 ,JUVENILE CUSTODY ORDER - FTA,701,COURT
1/10/2014 ,JUVENILE CUSTODY ORDER - FTA,407,COURT
1/10/2014 ,APO (MISD),604,707
1/10/2014 ,SIMPLE ASSAULT,701,607
1/10/2014 ,SIMPLE ASSAULT,703,607
1/10/2014 ,THEFT I STOLEN AUTO,105,105
1/10/2014 ,METRO - FAIL TO PAY FARE,708,703
1/10/2014 ,BURGLARY TWO,605,604
1/10/2014 ,BURGLARY TWO,604,604
1/10/2014 ,BURGLARY TWO,604,604
1/10/2014 ,SIMPLE ASSAULT,607,607
1/11/2014 ,UCSA PWID COCAINE/CRACK COCAINE,103,103
1/11/2014 ,JUVENILE CUSTODY ORDER - FTA,304,COURT
1/11/2014 ,SHOPLIFTING,708,101
1/11/2014 ,SHOPLIFTING,708,101
1/11/2014 ,DISORDERLY CONDUCT,706,105
1/11/2014 ,THEFT SECOND DEGREE,601,302
1/11/2014 ,POSSESSION OF PROHIBITED WEAPON (B),503,703
1/12/2014 ,DESTRUCTION OF PROPERTY - MISD,605,605
1/12/2014 ,SIMPLE ASSAULT,506,506
1/12/2014 ,APO (MISD),703,703
1/12/2014 ,UCSA PWID PCP,OUT OF STATE ,703
1/13/2014 ,SIMPLE ASSAULT,104,108
1/13/2014 ,SIMPLE ASSAULT,701,607
1/13/2014 ,SEX ABUSE-MISD,506,108
1/13/2014 ,FAILURE TO APPEAR,602,COURT
1/13/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),603,603
1/13/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),708,603
1/14/2014 ,BURGLARY,106,107
1/14/2014 ,ROBBERY,504,507
1/14/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,707,COURT
1/14/2014 ,THREATS TO DO BODILY HARM - MISD,501,304
1/14/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,OUT OF STATE ,JPC
1/14/2014 ,JUVENILE CUSTODY ORDER - FTA,403,JPC
1/14/2014 ,SIMPLE ASSAULT,608,604
1/14/2014 ,DESTRUCTION OF PROPERTY - MISD,707,707
1/14/2014 ,SECOND DEGREE CRUELTY TO CHILDREN,603,603
1/15/2014 ,SIMPLE ASSAULT,607,607
1/15/2014 ,UNLAWFUL ENTRY,604,608
1/15/2014 ,UNLAWFUL ENTRY,608,608
1/15/2014 ,UCSA POSSESSION MARIJUANA,OUT OF STATE ,405
1/15/2014 ,SIMPLE ASSAULT,502,303
1/15/2014 ,FUGITIVE FROM JUSTICE,OUT OF STATE ,405
1/16/2014 ,ASSAULT WITH A DANGEROUS WEAPON,603,403
1/16/2014 ,APO (MISD),507,507
1/16/2014 ,FAILURE TO APPEAR,608,COURT
1/16/2014 ,"ROBBERY, FORCE & VIOLENCE",503,601
1/16/2014 ,FAILURE TO APPEAR,702,102
1/16/2014 ,SIMPLE ASSAULT,701,608
1/16/2014 ,"ROBBERY, FORCE & VIOLENCE",701,506
1/16/2014 ,UCSA POSSESSION MARIJUANA,706,703
1/16/2014 ,SIMPLE ASSAULT,105,407
1/17/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,UNK ,407
1/17/2014 ,ATTEMPT TO COMMIT ROBBERY,106,108
1/17/2014 ,POSSESSION OF PROHIBITED WEAPON (B),505,504
1/17/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,604,604
1/17/2014 ,SIMPLE ASSAULT,703,503
1/17/2014 ,UNLAWFUL ENTRY,OUT OF STATE ,602
1/17/2014 ,SIMPLE ASSAULT,603,603
1/17/2014 ,APO (MISD),603,603
1/18/2014 ,POSSESSION OF AN OPEN CONTAINER OF ALCOHOL,704,703
1/18/2014 ,ROBBERY,705,603
1/19/2014 ,ADW OTHER DANGEROUS WEAPON,108,605
1/19/2014 ,THEFT 2 (THEFT F/BUILDING),702,206
1/19/2014 ,UNLAWFUL ENTRY OF A MOTOR VEHICLE,605,604
1/19/2014 ,UNLAWFUL ENTRY OF A MOTOR VEHICLE,604,604
1/19/2014 ,"POSSESSION OF PROHIBITED WEAPON (A) (BLACKJACK, GUN, KNIFE) ",702,702
1/20/2014 ,SIMPLE ASSAULT,607,701
1/20/2014 ,THREATS TO DO BODILY HARM-MISD,603,603
1/20/2014 ,SIMPLE ASSAULT,704,704
1/20/2014 ,SIMPLE ASSAULT,603,407
1/20/2014 ,THREATS (FELONY),608,608
1/22/2014 ,SIMPLE ASSAULT,604,604
1/22/2014 ,SIMPLE ASSAULT,702,702
1/22/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,602,602
1/22/2014 ,POSSESSION OF BB GUN ON PUBLIC SPACE,304,306
1/22/2014 ,POSSESSION OF BB GUN ON PUBLIC SPACE,306,306
1/22/2014 ,UNAUTHORIZED USE OF A VEHICLE,703,703
1/22/2014 ,UNAUTHORIZED USE OF A VEHICLE,703,703
1/22/2014 ,NO PERMIT,704,704
1/22/2014 ,SIMPLE ASSAULT,602,602
1/22/2014 ,UCSA POSSESSION MARIJUANA,OUT OF STATE ,705
1/22/2014 ,UNAUTHORIZED USE OF A VEHICLE,104,705
1/22/2014 ,UNAUTHORIZED USE OF A VEHICLE,703,705
1/22/2014 ,UNAUTHORIZED USE OF A VEHICLE,OUT OF STATE ,705
1/22/2014 ,NO PERMIT,OUT OF STATE ,705
1/23/2014 ,CONTEMPT - CONDITION OF RELEASE VIOLATION,705,202
1/23/2014 ,FUGITIVE FROM JUSTICE,302,301
1/23/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,OUT OF STATE ,JPC
1/23/2014 ,SIMPLE ASSAULT,604,608
1/23/2014 ,SIMPLE ASSAULT,601,608
1/23/2014 ,SIMPLE ASSAULT,601,608
1/23/2014 ,SIMPLE ASSAULT,601,608
1/23/2014 ,SIMPLE ASSAULT,601,608
1/23/2014 ,UNLAWFUL ENTRY,604,608
1/23/2014 ,UNLAWFUL ENTRY,608,608
1/23/2014 ,DISORDERLY CONDUCT - DISRUPTING USE OF A PUBLIC CONVEYANCE  ,505,404
1/23/2014 ,CARRYING A PISTOL,706,708
1/23/2014 ,POSS OF A CONTROLLED SUBSTANCE -MISD,705,302
1/23/2014 ,SIMPLE ASSAULT,503,503
1/24/2014 ,FUGITIVE FROM JUSTICE,605,605
1/24/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,107,COURT
1/24/2014 ,UNAUTHORIZED USE OF A VEHICLE,507,507
1/24/2014 ,UCSA POSSESSION OTHER,602,604
1/24/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,107,107
1/24/2014 ,UCSA POSSESSION OTHER,603,604
1/24/2014 ,POSSESSION OF AN OPEN CONTAINER OF ALCOHOL,304,301
1/25/2014 ,UNLAWFUL ENTRY,OUT OF STATE ,708
1/25/2014 ,THEFT 2 F/AUTO: MOTOR VEHICLE PARTS & ACCESSORIES,406,402
1/25/2014 ,SIMPLE ASSAULT,602,602
1/25/2014 ,POSSESSION OF PROHIBITED WEAPON (B),701,703
1/25/2014 ,SIMPLE ASSAULT,604,608
1/25/2014 ,SIMPLE ASSAULT,604,608
1/25/2014 ,ROBBERY W/ARMED (GUN),701,407
1/26/2014 ,SIMPLE ASSAULT,703,703
1/26/2014 ,CARRYING A PISTOL,703,703
1/26/2014 ,"ROBBERY, FORCE & VIOLENCE",604,604
1/26/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,OUT OF STATE ,COURT
1/26/2014 ,"ROBBERY, FORCE & VIOLENCE",505,604
1/26/2014 ,"ROBBERY, FORCE & VIOLENCE",605,604
1/26/2014 ,"ROBBERY, FORCE & VIOLENCE",304,604
1/26/2014 ,ADW OTHER DANGEROUS WEAPON,505,505
1/26/2014 ,AFFRAYS,OUT OF STATE ,505
1/26/2014 ,THREATS TO DO BODILY HARM - MISD,505,505
1/26/2014 ,SIMPLE ASSAULT,104,603
1/27/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,708,JPC
1/27/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,507,JPC
1/27/2014 ,THEFT SECOND DEGREE,605,302
1/27/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,107,107
1/27/2014 ,SHOPLIFTING,602,603
1/27/2014 ,"ROBBERY, FORCE & VIOLENCE",604,608
1/27/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,403,JPC
1/28/2014 ,BURGLARY TWO,608,604
1/28/2014 ,SIMPLE ASSAULT,708,707
1/28/2014 ,FUGITIVE FROM JUSTICE,706,108
1/28/2014 ,SIMPLE ASSAULT,705,703
1/28/2014 ,TRESPASS - ORDER AND DECORUM,702,306
1/28/2014 ,UCSA POSSESSION DRUG PARAPERNALIA,405,409
1/28/2014 ,POSSESSION OF PROHIBITED WEAPON (B),704,703
1/28/2014 ,SIMPLE ASSAULT,105,105
1/28/2014 ,"ROBBERY, FEAR",507,507
1/29/2014 ,ADW OTHER DANGEROUS WEAPON,507,608
1/29/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,602,306
1/29/2014 ,JUVENILE CUSTODY ORDER - FTA,708,703
1/29/2014 ,METRO - FAIL TO PAY FARE,507,505
1/29/2014 ,APO (MISD),505,505
1/29/2014 ,UCSA POSSESSION MARIJUANA,505,405
1/29/2014 ,UCSA POSSESSION MARIJUANA,402,405
1/29/2014 ,UCSA POSSESSION MARIJUANA,406,405
1/29/2014 ,UCSA POSSESSION MARIJUANA,405,405
1/29/2014 ,SIMPLE ASSAULT,407,407
1/29/2014 ,ROBBERY,707,707
1/30/2014 ,RECEIVING STOLEN PROPERTY,504,504
1/30/2014 ,RECEIVING STOLEN PROPERTY,504,504
1/30/2014 ,ADW OTHER DANGEROUS WEAPON,507,308
1/30/2014 ,THREATS (FELONY),504,504
1/30/2014 ,ADW KNIFE OR CUTTING INSTRUMENT,605,605
1/30/2014 ,UNLAWFUL ENTRY,105,202
1/30/2014 ,SIMPLE ASSAULT,704,108
1/30/2014 ,BURGLARY TWO,703,704
1/30/2014 ,THEFT SECOND DEGREE,507,507
1/30/2014 ,POSSESSION OF PROHIBITED WEAPON (PPW-B),702,702
1/31/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,704,704
1/31/2014 ,SIMPLE ASSAULT,OUT OF STATE ,503
1/31/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,706,602
1/31/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,404,JPC
1/31/2014 ,THEFT 2 (THEFT F/BUILDING),OUT OF STATE ,106
1/31/2014 ,UNAUTHORIZED USE OF A VEHICLE,OUT OF STATE ,103
1/31/2014 ,THEFT SECOND DEGREE,507,507
1/31/2014 ,SIMPLE ASSAULT,505,108
1/31/2014 ,APO (MISD),707,707
1/31/2014 ,APO (MISD),707,707
1/31/2014 ,FAILURE TO OBEY A LAWFUL ORDER,607,702
1/31/2014 ,THREATS TO DO BODILY HARM - MISD,506,506
1/31/2014 ,ADW GUN,506,506
2/1/2014 ,UNAUTHORIZED USE OF A VEHICLE,603,603
2/1/2014 ,ROBBERY,304,306
2/1/2014 ,SHOPLIFTING,308,103
2/1/2014 ,UNLAWFUL ENTRY,701,601
2/1/2014 ,POSSESSION OF PROHIBITED WEAPON (PPW-B),703,703
2/1/2014 ,POSSESSION OF BB GUN ON PUBLIC SPACE,702,702
2/1/2014 ,UNLAWFUL ENTRY,608,601
2/1/2014 ,CARRYING A PISTOL,108,603
2/1/2014 ,ADW GUN,703,703
2/1/2014 ,POSSESS PROHIBITED WEAPON,701,105
2/2/2014 ,APO (MISD),507,507
2/2/2014 ,THEFT SECOND DEGREE,108,103
2/2/2014 ,"ROBBERY, FORCE & VIOLENCE",505,506
2/2/2014 ,"ROBBERY, FORCE & VIOLENCE",505,506
2/2/2014 ,"ROBBERY, FORCE & VIOLENCE",505,506
2/2/2014 ,SIMPLE ASSAULT,105,105
2/2/2014 ,SIMPLE ASSAULT,601,601
2/3/2014 ,SIMPLE ASSAULT,602,602
2/3/2014 ,SIMPLE ASSAULT,407,602
2/3/2014 ,UCSA POSSESSION MARIJUANA,507,503
2/3/2014 ,UCSA POSSESSION MARIJUANA,506,503
2/3/2014 ,FUGITIVE FROM JUSTICE,506,506
2/3/2014 ,OBSTRUCTION OF JUSTICE,506,503
2/3/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,601,601
2/3/2014 ,UCSA POSSESSION MARIJUANA,603,708
2/4/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,603,COURT
2/4/2014 ,FAILURE TO APPEAR,601,604
2/4/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,409,105
2/4/2014 ,SIMPLE ASSAULT,708,708
2/4/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),402,403
2/4/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),404,403
2/4/2014 ,BURGLARY TWO,501,504
2/5/2014 ,CARRYING DANGEROUS WEAPON,707,607
2/5/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),704,JPC
2/5/2014 ,SIMPLE ASSAULT,701,607
2/5/2014 ,SIMPLE ASSAULT,601,607
2/5/2014 ,SIMPLE ASSAULT,403,607
2/5/2014 ,SIMPLE ASSAULT,701,607
2/5/2014 ,SIMPLE ASSAULT,704,607
2/5/2014 ,SIMPLE ASSAULT,702,607
2/5/2014 ,METRO - FAIL TO PAY FARE,702,505
2/5/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,204,102
2/5/2014 ,UCSA POSSESSION MARIJUANA,608,602
2/5/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,604,COURT
2/5/2014 ,SIMPLE ASSAULT,702,702
2/5/2014 ,THEFT SECOND DEGREE,708,207
2/5/2014 ,UCSA POSSESSION MARIJUANA,OUT OF STATE ,703
2/5/2014 ,UNAUTHORIZED USE OF A VEHICLE,704,704
2/6/2014 ,THEFT 2 F/AUTO: THEFT F/ MOTOR VEHICLE,505,504
2/6/2014 ,DESTRUCTION OF PROPERTY - MISD,403,407
2/6/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,604,JPC
2/6/2014 ,UNAUTHORIZED USE OF A VEHICLE,502,502
2/6/2014 ,SIMPLE ASSAULT,705,705
2/6/2014 ,THEFT SECOND DEGREE,503,302
2/6/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,407,606
2/6/2014 ,UCSA POSSESSION MARIJUANA,405,102
2/7/2014 ,CARRYING DANGEROUS WEAPON,604,608
2/7/2014 ,ROBBERY W/ARMED (GUN),106,JPC
2/7/2014 ,UNLAWFUL ENTRY,405,405
2/7/2014 ,SIMPLE ASSAULT,507,507
2/7/2014 ,"ROBBERY, FORCE & VIOLENCE",605,603
2/7/2014 ,ASSAULT WITH SIGNIFICANT BODILY INJURY,601,601
2/7/2014 ,DESTRUCTION OF PROPERTY - MISD,608,604
2/8/2014 ,DRIVING WHILE INTOXICATED - UNDER 21,201,201
2/8/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,106,106
2/8/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,106,106
2/8/2014 ,AFFRAYS,703,703
2/8/2014 ,AFFRAYS,703,703
2/8/2014 ,CARRYING A PISTOL,604,604
2/8/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),402,402
2/8/2014 ,UNLAWFUL ENTRY,OUT OF STATE ,302
2/9/2014 ,DESTRUCTION OF PROPERTY - MISD,302,403
2/9/2014 ,SIMPLE ASSAULT,607,605
2/9/2014 ,ASSAULT WITH A DANGEROUS WEAPON,601,602
2/9/2014 ,CARRYING A PISTOL,702,702
2/9/2014 ,ROBBERY,704,105
2/9/2014 ,ADW KNIFE OR CUTTING INSTRUMENT,604,604
2/9/2014 ,ROBBERY SNATCH OR PURSESNATCH,602,105
2/10/2014 ,CONTEMPT - CONDITION OF RELEASE VIOLATION,405,502
2/10/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,604,604
2/10/2014 ,ROBBERY,603,JPC
2/10/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,605,106
2/10/2014 ,FUGITIVE FROM JUSTICE,405,703
2/10/2014 ,UNLAWFUL ENTRY,706,703
2/10/2014 ,UNLAWFUL ENTRY,502,502
2/11/2014 ,ROBBERY,507,306
2/11/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,708,JPC
2/11/2014 ,ADW OTHER DANGEROUS WEAPON,604,106
2/11/2014 ,AGGRAVATED ASSAULT,604,608
2/11/2014 ,THREATS (FELONY),703,608
2/11/2014 ,JUVENILE CUSTODY ORDER - PREPETITION,505,COURT
2/11/2014 ,SIMPLE ASSAULT,101,106
2/11/2014 ,UNAUTHORIZED USE OF A VEHICLE,704,705
2/11/2014 ,UNAUTHORIZED USE OF A VEHICLE,704,705
2/11/2014 ,UNLAWFUL ENTRY,602,602
2/11/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,506,702
2/12/2014 ,SIMPLE ASSAULT,405,405
2/12/2014 ,SIMPLE ASSAULT,405,405
2/12/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,704,JPC
2/12/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,OUT OF STATE ,COURT
2/12/2014 ,SIMPLE ASSAULT,702,COURT
2/12/2014 ,DESTRUCTION OF PROPERTY - MISD,403,409
2/12/2014 ,DESTRUCTION OF PROPERTY - MISD,702,703
2/12/2014 ,THREATS (FELONY),704,108
2/12/2014 ,SIMPLE ASSAULT,405,406
2/12/2014 ,UCSA POSSESSION MARIJUANA,105,505
2/12/2014 ,ASSAULT ON A FEDERAL POLICE OFFICER (MISD),507,108
2/12/2014 ,THREATS (MISD),604,108
2/12/2014 ,SIMPLE ASSAULT,405,102
2/12/2014 ,ASSAULT ON A POLICE OFFICER (FELONY),603,603
2/12/2014 ,NO PERMIT,603,603
2/13/2014 ,DESTRUCTION OF PROPERTY - MISD,604,604
2/14/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,603,504
2/14/2014 ,FORGERY (INCL ATTEMPTS) OR UTTERING,303,102
2/14/2014 ,SIMPLE ASSAULT,701,701
2/14/2014 ,UCSA POSSESSION MARIJUANA,OUT OF STATE ,601
2/14/2014 ,SIMPLE ASSAULT,507,507
2/15/2014 ,SIMPLE ASSAULT,605,605
2/15/2014 ,THREATS (MISD),604,604
2/15/2014 ,ROBBERY SNATCH OR PURSESNATCH,105,603
2/15/2014 ,ROBBERY SNATCH OR PURSESNATCH,602,603
2/15/2014 ,ROBBERY SNATCH OR PURSESNATCH,602,603
2/15/2014 ,ROBBERY SNATCH OR PURSESNATCH,604,603
2/15/2014 ,ROBBERY SNATCH OR PURSESNATCH,707,603
2/16/2014 ,ASSAULT WITH SIGNIFICANT BODILY INJURY,OUT OF STATE ,206
2/16/2014 ,DESTRUCTION OF PROPERTY - MISD,408,408
2/16/2014 ,ASSAULT ON A POLICE OFFICER [MISD],OUT OF STATE ,105
2/16/2014 ,FAILURE TO APPEAR,408,408
2/16/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,602,602
2/16/2014 ,POSSESSION OF BB GUN ON PUBLIC SPACE,308,103
2/17/2014 ,SIMPLE ASSAULT,106,207
2/17/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,OUT OF STATE ,JPC
2/18/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,604,108
2/18/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,707,704
2/18/2014 ,AFFRAYS,701,701
2/18/2014 ,AFFRAYS,702,701
2/18/2014 ,AFFRAYS,703,701
2/18/2014 ,AFFRAYS,306,701
2/18/2014 ,AFFRAYS,707,701
2/18/2014 ,THROWING STONES OR MISSILES,701,701
2/18/2014 ,UCSA POSSESSION MARIJUANA,703,703
2/18/2014 ,SIMPLE ASSAULT,507,505
2/18/2014 ,UCSA POSSESSION MARIJUANA,703,703
2/18/2014 ,SIMPLE ASSAULT,505,505
2/18/2014 ,UCSA PWID MARIJUANA,706,703
2/18/2014 ,UNAUTHORIZED USE OF A VEHICLE,603,603
2/18/2014 ,THROWING STONES OR MISSILES,702,701
2/19/2014 ,FUGITIVE FROM JUSTICE,OUT OF STATE ,JPC
2/19/2014 ,JUVENILE CUSTODY ORDER - FTA,503,504
2/19/2014 ,SIMPLE ASSAULT,701,106
2/19/2014 ,THEFT SECOND DEGREE,505,101
2/19/2014 ,UCSA PWID MARIJUANA,707,703
2/19/2014 ,NO PERMIT (MOTORCYCLE),602,602
2/19/2014 ,"ROBBERY, FORCE & VIOLENCE",703,703
2/19/2014 ,"ROBBERY, FORCE & VIOLENCE",703,703
2/19/2014 ,APO (MISD),605,605
2/19/2014 ,SIMPLE ASSAULT,505,409
2/19/2014 ,NO PERMIT (MOTORCYCLE),602,602
2/20/2014 ,CARJACKING UNARMED,603,707
2/20/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),602,602
2/20/2014 ,UNLAWFUL ENTRY OF A MOTOR VEHICLE,701,204
2/20/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),608,602
2/20/2014 ,APO (MISD),702,703
2/20/2014 ,SIMPLE ASSAULT,407,407
2/20/2014 ,APO (FELONY),704,702
2/20/2014 ,FORGERY (INCL ATTEMPTS) OR UTTERING,708,703
2/20/2014 ,"ROBBERY, FORCE & VIOLENCE",608,103
2/20/2014 ,ROBBERY SNATCH OR PURSESNATCH,308,102
2/20/2014 ,"ROBBERY, FORCE & VIOLENCE",504,103
2/21/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,308,308
2/21/2014 ,ADW KNIFE OR CUTTING INSTRUMENT,502,408
2/21/2014 ,BAIL REFORM ACT -FELONY,608,COURT
2/21/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,706,706
2/21/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,707,707
2/21/2014 ,ASSAULT ON A POLICE OFFICER (FELONY),502,505
2/22/2014 ,THREATS (FELONY),608,608
2/22/2014 ,SIMPLE ASSAULT,507,507
2/23/2014 ,AFFRAYS,703,703
2/23/2014 ,FAILURE TO OBEY A LAWFUL ORDER,105,105
2/23/2014 ,FAILING TO OBEY A POLICE ORDER,103,105
2/23/2014 ,"ROBBERY, FORCE & VIOLENCE",602,602
2/24/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,707,706
2/24/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,405,102
2/24/2014 ,FUGITIVE FROM JUSTICE,703,JPC
2/24/2014 ,UCSA POSSESSION MARIJUANA,603,603
2/24/2014 ,SIMPLE ASSAULT,601,601
2/24/2014 ,THREATS TO DO BODILY HARM - MISD,601,601
2/25/2014 ,APO (MISD),702,502
2/25/2014 ,APO (MISD),604,502
2/25/2014 ,APO (MISD),604,502
2/25/2014 ,APO (MISD),706,502
2/25/2014 ,APO (MISD),506,502
2/25/2014 ,APO (FELONY),502,502
2/25/2014 ,UCSA POSSESSION MARIJUANA,601,108
2/25/2014 ,FAILURE TO APPEAR,608,503
2/25/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,105,105
2/25/2014 ,ASSAULT ON A POLICE OFFICER (FELONY),502,505
2/25/2014 ,UNAUTHORIZED USE OF A VEHICLE,702,702
2/25/2014 ,ASSAULT ON A POLICE OFFICER (FELONY),502,505
2/25/2014 ,ADW OTHER DANGEROUS WEAPON,105,202
2/25/2014 ,NO PERMIT,702,702
2/25/2014 ,ADW OTHER DANGEROUS WEAPON,402,202
2/25/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,603,308
